id,字符串key,名字,0不允许覆盖1覆盖等级，时间重置2叠加等级，时间重置3覆盖等级，时间不变4叠加等级，时间不变5覆盖等级，时间延长6叠加等级，时间延长,是否下线保存,下线是否计时,是否同步客户端,是否广播客户端(todo),是否死亡清除,持有图标(留空表示不显示图标),持有特效(留空表示不显示特效),持有特效1(留空表示不显示特效),特效类型(留空表示不显示特效),特效层级(0:身后 1:身前),替换组key(同一个组key的buff生效时，会删除原组所有buff),互斥组key(有同一个组key的buff生效时，无法再添加新的同组buff),缺省持续秒,更新时间秒（0表示不更新）,是否屏蔽时间,最大等级(0不限),固定属性个数（总属性=固定属性+buff等级*等级属性）,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,固定属性槽,等级属性个数,等级属性槽,等级属性槽,等级属性槽,等级属性槽,等级属性槽,描述
302,xianpinduanti1,仙品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;200000;200000,,,,,,,,,,,,,增加：战士生命1000000，法师生命400000，道士生命600000，妖士生命1000000
303,xiapinguming1,下品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;4;4,,,,,,,,,,,,,命中：4
304,zhongpinguming1,中品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;8;8,,,,,,,,,,,,,命中：8
305,shangpinguming1,上品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;12;12,,,,,,,,,,,,,命中：12
306,jipinguming1,极品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;20;20,,,,,,,,,,,,,命中：20
307,xianpinguming1,仙品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;30;30,,,,,,,,,,,,,命中：30
308,xiapinhuishen1,下品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;4;4,,,,,,,,,,,,,躲避：4
309,zhongpinhuishen1,中品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;8;8,,,,,,,,,,,,,躲避：8
310,shangpinhuishen1,上品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;12;12,,,,,,,,,,,,,躲避：12
311,jipinhuishen1,极品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;20;20,,,,,,,,,,,,,躲避：20
312,xianpinhuishen1,仙品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;30;30,,,,,,,,,,,,,躲避：30
313,xiapinzhenghun1,下品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;4;4,,,,,,,,,,,,,魔法躲避：4%
314,zhongpinzhenghun1,中品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;8;8,,,,,,,,,,,,,魔法躲避：8%
315,shangpinzhenghun1,上品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
316,jipinzhenghun1,极品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;20;20,,,,,,,,,,,,,魔法躲避：20%
317,xianpinzhenghun1,仙品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;30;30,,,,,,,,,,,,,魔法躲避：30%
318,xiapinningpo1,下品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;1;1,,,,,,,,,,,,,中毒躲避：10%
319,zhongpinningpo1,中品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;2;2,,,,,,,,,,,,,中毒躲避：20%
320,shangpinningpo1,上品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;3;3,,,,,,,,,,,,,中毒躲避：30%
321,jipinningpo1,极品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;4;4,,,,,,,,,,,,,中毒躲避：40%
322,xianpinningpo1,仙品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;5;5,,,,,,,,,,,,,中毒躲避：50%
323,xiapinyiqi1,下品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;10;10,,,,,,,,,,,,,降低受到沉默几率：10%
324,zhongpinyiqi1,中品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;20;20,,,,,,,,,,,,,降低受到沉默几率：20%
325,shangpinyiqi1,上品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;30;30,,,,,,,,,,,,,降低受到沉默几率：30%
326,jipinyiqi1,极品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;40;40,,,,,,,,,,,,,降低受到沉默几率：40%
327,xianpinyiqi1,仙品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默几率：50%
328,xiapinjujing1,下品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;10;10,,,,,,,,,,,,,降低受到冰冻几率：10%
329,zhongpinjujing1,中品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;20;20,,,,,,,,,,,,,降低受到冰冻几率：20%
330,shangpinjujing1,上品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;30;30,,,,,,,,,,,,,降低受到冰冻几率：30%
331,jipinjujing1,极品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;40;40,,,,,,,,,,,,,降低受到冰冻几率：40%
332,xianpinjujing1,仙品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;50;50,,,,,,,,,,,,,降低受到冰冻几率：50%
333,xiapinqingxin1,下品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;10;10,,,,,,,,,,,,,降低受到恐惧几率：10%
334,zhongpinqingxin1,中品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;20;20,,,,,,,,,,,,,降低受到恐惧几率：20%
335,shangpinqingxin1,上品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;30;30,,,,,,,,,,,,,降低受到恐惧几率：30%
336,jipinqingxin1,极品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;40;40,,,,,,,,,,,,,降低受到恐惧几率：40%
337,xianpinqingxin1,仙品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;50;50,,,,,,,,,,,,,降低受到恐惧几率：50%
338,jiangdibingdong2,降低冰冻机率百分比,1,1,1,1,0,0,34047,,,,,jiangdibingdong,,30,,0,,1,250;100;100,,,,,,,,,,,,,降低受到冰冻几率
339,jiangdichenmo2,降低沉默机率百分比,1,1,1,1,0,0,34047,,,,,jiangdichenmo,,30,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默的几率
340,jiangdikongju2,降低恐惧机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,252;100;100,,,,,,,,,,,,,降低受到恐惧的几率
341,jiangdimabi2,降低麻痹机率百分比,1,1,1,1,0,0,34047,,,,,jiangdikongju,,30,,0,,1,90;50;50,,,,,,,,,,,,,降低受到恐惧的几率
342,xiapinputi2,下品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;40;40,,,,,,,,,,,,,本职业攻击：40-40
343,zhongpinputi2,中品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;80;80,,,,,,,,,,,,,本职业攻击：80-80
344,shangpinputi2,上品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;120;120,,,,,,,,,,,,,本职业攻击：120-120
345,jipinputi2,极品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;120;160,,,,,,,,,,,,,本职业攻击：120-160
346,xianpinputi2,仙品菩提丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,105;120;200,,,,,,,,,,,,,本职业攻击：120-200
347,xiapinyijing2,下品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;40;40,,,,,,,,,,,,,物理防御：40-40
348,zhongpinyijing2,中品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;80;80,,,,,,,,,,,,,物理防御：80-80
349,shangpinyijing2,上品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;120;120,,,,,,,,,,,,,物理防御：120-120
350,jipinyijing2,极品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;120;160,,,,,,,,,,,,,物理防御：120-160
351,xianpinyijing2,仙品易筋丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;120;200,,,,,,,,,,,,,物理防御：120-200
352,xiapinxisui2,下品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;40;40,,,,,,,,,,,,,魔法防御：40-40
353,zhongpinxisui2,中品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;80;80,,,,,,,,,,,,,魔法防御：80-80
354,shangpinxisui2,上品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,10;120;120,,,,,,,,,,,,,魔法防御：120-120
355,jipinxisui2,极品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;120;160,,,,,,,,,,,,,魔法防御：120-160
356,xianpinxisui2,仙品洗髓丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,9;120;200,,,,,,,,,,,,,魔法防御：120-200
357,xiapinduanti2,下品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;400;400,,,,,,,,,,,,,增加：战士生命2000，法师生命800，道士生命1200
358,zhongpinduanti2,中品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;800;800,,,,,,,,,,,,,增加：战士生命4000，法师生命1600，道士生命2400
359,shangpinduanti2,上品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;1200;1200,,,,,,,,,,,,,增加：战士生命6000，法师生命2400，道士生命3600
360,jipinduanti2,极品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;1600;1600,,,,,,,,,,,,,增加：战士生命8000，法师生命3200，道士生命4800
361,xianpinduanti2,仙品锻体丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,99;2000;2000,,,,,,,,,,,,,增加：战士生命10000，法师生命4000，道士生命6000
362,xiapinguming2,下品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;2;2,,,,,,,,,,,,,命中：4
363,zhongpinguming2,中品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;4;4,,,,,,,,,,,,,命中：8
364,shangpinguming2,上品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;6;6,,,,,,,,,,,,,命中：12
365,jipinguming2,极品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;8;8,,,,,,,,,,,,,命中：20
366,xianpinguming2,仙品古冥丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,4;10;10,,,,,,,,,,,,,命中：30
367,xiapinhuishen2,下品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;2;2,,,,,,,,,,,,,躲避：4
368,zhongpinhuishen2,中品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;4;4,,,,,,,,,,,,,躲避：8
369,shangpinhuishen2,上品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;6;6,,,,,,,,,,,,,躲避：12
370,jipinhuishen2,极品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;8;8,,,,,,,,,,,,,躲避：20
371,xianpinhuishen2,仙品汇神丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,2;10;10,,,,,,,,,,,,,躲避：30
372,xiapinzhenghun2,下品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;4;4,,,,,,,,,,,,,魔法躲避：4%
373,zhongpinzhenghun2,中品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;8;8,,,,,,,,,,,,,魔法躲避：8%
374,shangpinzhenghun2,上品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;12;12,,,,,,,,,,,,,魔法躲避：12%
375,jipinzhenghun2,极品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;16;16,,,,,,,,,,,,,魔法躲避：20%
376,xianpinzhenghun2,仙品镇魂丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,3;20;20,,,,,,,,,,,,,魔法躲避：30%
377,xiapinningpo2,下品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;1;1,,,,,,,,,,,,,中毒躲避：10%
378,zhongpinningpo2,中品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;2;2,,,,,,,,,,,,,中毒躲避：20%
379,shangpinningpo2,上品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;3;3,,,,,,,,,,,,,中毒躲避：30%
380,jipinningpo2,极品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;4;4,,,,,,,,,,,,,中毒躲避：40%
381,xianpinningpo2,仙品凝魄丹,1,1,1,1,0,0,34047,,,,,xiapinputi,,3600,,0,,1,43;5;5,,,,,,,,,,,,,中毒躲避：50%
382,xiapinyiqi2,下品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;10;10,,,,,,,,,,,,,降低受到沉默几率：10%
383,zhongpinyiqi2,中品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;20;20,,,,,,,,,,,,,降低受到沉默几率：20%
384,shangpinyiqi2,上品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;30;30,,,,,,,,,,,,,降低受到沉默几率：30%
385,jipinyiqi2,极品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;40;40,,,,,,,,,,,,,降低受到沉默几率：40%
386,xianpinyiqi2,仙品益气丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,251;50;50,,,,,,,,,,,,,降低受到沉默几率：50%
387,xiapinjujing2,下品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;10;10,,,,,,,,,,,,,降低受到冰冻几率：10%
388,zhongpinjujing2,中品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;20;20,,,,,,,,,,,,,降低受到冰冻几率：20%
389,shangpinjujing2,上品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;30;30,,,,,,,,,,,,,降低受到冰冻几率：30%
390,jipinjujing2,极品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;40;40,,,,,,,,,,,,,降低受到冰冻几率：40%
391,xianpinjujing2,仙品聚精丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,250;50;50,,,,,,,,,,,,,降低受到冰冻几率：50%
392,xiapinqingxin2,下品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;10;10,,,,,,,,,,,,,降低受到恐惧几率：10%
393,zhongpinqingxin2,中品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;20;20,,,,,,,,,,,,,降低受到恐惧几率：20%
394,shangpinqingxin2,上品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;30;30,,,,,,,,,,,,,降低受到恐惧几率：30%
395,jipinqingxin2,极品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;40;40,,,,,,,,,,,,,降低受到恐惧几率：40%
396,xianpinqingxin2,仙品清心丹,1,1,1,1,0,0,34047,,,,,xiapinyiqi,,300,,0,,1,252;50;50,,,,,,,,,,,,,降低受到恐惧几率：50%
397,jjcgongji,攻击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,95;300;300,,,,,,,,,,,,,提高攻击持续5秒
398,jjchuifu,恢复,1,1,1,1,0,0,34047,,,,,gongji,,5,1,0,0,1,,,,,,,,,,,,,,持续恢复持续5秒
399,jjcpojia,破甲,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,2,117;5;5,114;5;5,,,,,,,,,,,,增加无视防御持续5秒
400,jjcfangyu,防御,1,1,1,1,0,0,34047,,,,,gongji,,10,,0,,2,9;10;10,10;10;10,,,,,,,,,,,,增加防御持续10秒
401,jjcbaoji,暴击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,45;20;20,,,,,,,,,,,,,增加暴击持续5秒
402,nengliang1,能量倾泄,1,0,1,1,0,1,34047,,,,,,,1800,,0,,,95;300;300,125;300;300,126;300;300,,,,,,,,,,,能量球BUFF
403,nengliang2,能量,1,0,1,1,0,1,34047,,,,,,,1800,5,0,,,,,,,,,,,,,,,,能量
404,hanghuizengyi1,一级行会增益,1,1,1,1,0,0,34047,,,,,hanghuizengyi,,1209600,,0,,3,105;1;1,9;1;1,10;1;1,,,,,,,,,,,1级行会增益：攻击1-1，防御1-1，魔防1-1
405,hanghuizengyi2,二级行会增益,1,1,1,1,0,0,34047,,,,,hanghuizengyi,,1209600,,0,,3,105;2;2,9;2;2,10;2;2,,,,,,,,,,,2级行会增益：攻击2-2，防御2-2，魔防2-2
406,hanghuizengyi3,三级行会增益,1,1,1,1,0,0,34047,,,,,hanghuizengyi,,1209600,,0,,3,105;3;3,9;3;3,10;3;3,,,,,,,,,,,3级行会增益：攻击3-3，防御3-3，魔防3-3
407,jjcgongji1,攻击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,95;300;300,,,,,,,,,,,,,
408,jjchuifu1,恢复,1,1,1,1,0,0,34047,,,,,gongji,,5,1,0,0,1,,,,,,,,,,,,,,
409,jjcpojia1,破甲,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,2,117;500;500,114;500;500,,,,,,,,,,,,
410,jjcfangyu1,防御,1,1,1,1,0,0,34047,,,,,gongji,,10,,0,,2,9;500;500,10;500;500,,,,,,,,,,,,
411,jjcbaoji1,暴击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,45;200;200,,,,,,,,,,,,,
412,jjcgongji2,攻击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,95;300;300,,,,,,,,,,,,,
413,jjchuifu2,恢复,1,1,1,1,0,0,34047,,,,,gongji,,5,1,0,0,1,,,,,,,,,,,,,,
414,jjcpojia2,破甲,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,2,117;1500;1500,114;1500;1500,,,,,,,,,,,,
415,jjcfangyu2,防御,1,1,1,1,0,0,34047,,,,,gongji,,10,,0,,2,9;500;1500,10;500;1500,,,,,,,,,,,,
416,jjcbaoji2,暴击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,45;200;200,,,,,,,,,,,,,
417,jjcgongji3,攻击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,95;300;300,,,,,,,,,,,,,
418,jjchuifu3,恢复,1,1,1,1,0,0,34047,,,,,gongji,,5,1,0,0,1,,,,,,,,,,,,,,
419,jjcpojia3,破甲,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,2,117;500000;500000,114;50000;500000,,,,,,,,,,,,
420,jjcfangyu3,防御,1,1,1,1,0,0,34047,,,,,gongji,,10,,0,,2,9;50000;50000,10;50000;50000,,,,,,,,,,,,
421,jjcbaoji3,暴击,1,1,1,1,0,0,34047,,,,,gongji,,5,,0,,1,37;20;20,,,,,,,,,,,,,
422,xiulianputong,普通修炼,0,1,1,1,0,0,34057,,,,,xiulianputong,,86400,,0,0,0,,,,,,,,,,,,,,当前状态打怪均为双倍经验，当天24点前有效。
423,xiuliangaoji,高级修炼,0,1,1,1,0,0,34057,,,,,xiulianputong,,86400,,0,0,0,,,,,,,,,,,,,,打怪、王城诏令、镖车、藏宝图经验均双倍，镖车声望、圣盾结晶奖励双倍，当天24点前有效
424,tjgongji,太极心法攻击,1,1,1,1,0,0,34047,,,,,tjgongji,,10,,0,,1,105;500;500,,,,,,,,,,,,,
425,tjmianshangdengji,太极心法免伤等级,1,1,1,1,0,0,34048,,,,,tjmianshang,,10,,0,,1,118;100;100,,,,,,,,,,,,,
426,tjzsljjmianshang1,太极心法对战士连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang1,,10,,0,,3,159;30;30,160;30;30,175;30;30,,,,,,,,,,,
427,tjzsljjmianshang2,太极心法对法师连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang2,,10,,0,,3,157;30;30,158;30;30,176;30;30,,,,,,,,,,,
428,tjzsljjmianshang3,太极心法对道士连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang3,,10,,0,,3,161;30;30,162;30;30,177;30;30,,,,,,,,,,,
429,tjbaojishanghai,太极心法暴击伤害,1,1,1,1,0,0,34051,,,,,tjbaojishanghai,,10,,0,,1,53;15;15,,,,,,,,,,,,,
430,tjshanbi,太极心法闪避,1,1,1,1,0,0,34050,,,,,tjshanbi,,10,,0,,2,2;15;15,3;30;30,,,,,,,,,,,,
431,tjljjmianshang,太极心法免伤,1,1,1,1,0,0,34050,,,,,tjljjmianshang,,10,,0,,1,118;300;300,,,,,,,,,,,,,
432,tjmingzhong,太极心法命中,1,1,1,1,0,0,34049,,,,,tjmingzhong,,15,,0,,2,4;10;10,5;20;20,,,,,,,,,,,,
433,tjgongji1,太极心法攻击,1,1,1,1,0,0,34047,,,,,tjgongji1,,8,,0,,1,105;150000;150000,,,,,,,,,,,,,
434,tjgongji11,太极心法攻击,1,1,1,1,0,0,34047,,,,,tjgongji11,,10,,0,,1,105;150000;150000,,,,,,,,,,,,,
435,tjmianshangdengji1,太极心法神圣免伤,1,1,1,1,0,0,34048,,,,,tjmianshangdengji1,,10,,0,,1,56;10000;10000,,,,,,,,,,,,,
436,tjzsljjmianshang21,太极心法对战士连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang21,,10,,0,,3,159;30;30,160;30;30,175;30;30,,,,,,,,,,,
437,tjzsljjmianshang22,太极心法对法师连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang22,,10,,0,,3,157;30;30,158;30;30,176;30;30,,,,,,,,,,,
438,tjzsljjmianshang23,太极心法对道士连击技免伤,1,1,1,1,0,0,34048,,,,,tjzsljjmianshang23,,10,,0,,3,161;30;30,162;30;30,177;30;30,,,,,,,,,,,
439,tjbaojishanghai1,太极心法暴击伤害,1,1,1,1,0,0,34051,,,,,tjbaojishanghai1,,10,,0,,1,53;15;15,,,,,,,,,,,,,
440,tjshanbi1,太极心法闪避,1,1,1,1,0,0,34050,,,,,tjshanbi1,,10,,0,,2,2;30;30,3;30;30,,,,,,,,,,,,
441,tjljjmianshang1,太极心法免伤,1,1,1,1,0,0,34050,,,,,tjljjmianshang1,,10,,0,,1,118;300;300,56;3000;3000,,,,,,,,,,,,
442,tjmingzhong1,太极心法命中,1,1,1,1,0,0,34049,,,,,tjmingzhong1,,15,,0,,2,4;30;30,5;30;30,,,,,,,,,,,,
443,tjgongji2,太极心法攻击,1,1,1,1,0,0,34047,,,,,tjgongji2,,10,,0,,1,105;2000;2000,,,,,,,,,,,,,
444,tjshanbi2,太极心法闪避,1,1,1,1,0,0,34050,,,,,tjshanbi2,,10,,0,,2,2;15;15,3;30;30,,,,,,,,,,,,
445,tjmingzhong2,太极心法命中,1,1,1,1,0,0,34049,,,,,tjmingzhong2,,15,,0,,2,4;15;15,5;30;30,,,,,,,,,,,,
446,addExpBuff,自由泡点,5,1,0,1,0,0,34057,,,,,,,3600,6,0,,0,,,,,,,,,,,,,,您当前处于泡点状态，每6秒可获得一次经验！
447,addExpBuffGray,泡点暂停,0,0,0,1,0,0,34057,,,,,,,3600000,,1,,0,,,,,,,,,,,,,,泡点功能暂停，当前不可获得经验，泡点剩余时间不会扣除。
448,tequan_wcys,王城勇士,1,1,1,1,0,0,34051,,,,,tequan_wcys,,-1,,0,,1,105;0;10,,,,,,,,,,,,,王城勇士特权：#n本职业攻击0-10
449,tequan_ryzs,荣耀战神,1,1,1,1,0,0,34051,,,,,tequan_wcys,,-1,,0,,4,105;0;12,255;10;10,145;5;5,138;20;20,,,,,,,,,,荣耀战神特权：#n本职业攻击0-12 #n爆率提升10% #n免伤提升5% #n打怪军衔经验+20%
450,tequan_swtw,圣武天王,1,1,1,1,0,0,34051,,,,,tequan_wcys,,-1,,0,,5,105;0;15,255;12;12,145;5;5,144;5;5,138;30;30,,,,,,,,,圣武天王特权：#n本职业攻击0-15 #n爆率提升12% #n免伤提升5% #n打怪军衔经验+30% #n伤害提升5%
451,tequan_zzzz,至尊主宰,1,1,1,1,0,0,34051,,,,,tequan_wcys,,-1,,0,,6,105;0;20,255;15;15,145;5;5,144;5;5,11;1;1,138;40;40,,,,,,,,至尊主宰特权：#n本职业攻击0-20 #n爆率提升15% #n免伤提升5% #n打怪军衔经验+40% #n伤害提升5% #n幸运值+1
452,tiejijinge1,铁骑金戈1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;2;4,99;40;40,9;0;2,10;0;2,,,,,,,,,,1级铁骑金戈：攻击2-4，防御0-2，魔防0-2，战士血量200，法师80，道士120。
453,tiejijinge2,铁骑金戈2,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;4;8,99;80;80,9;0;4,10;0;4,,,,,,,,,,2级铁骑金戈：攻击4-8，防御0-4，魔防0-4，战士血量400，法师160，道士240。
454,tiejijinge3,铁骑金戈3,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;6;12,99;120;120,9;1;6,10;1;6,,,,,,,,,,3级铁骑金戈：攻击6-12，防御1-6，魔防1-6，战士血量600，法师240，道士360。
455,tiejijinge4,铁骑金戈4,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;10;20,99;200;200,9;2;8,10;2;8,,,,,,,,,,4级铁骑金戈：攻击10-20，防御2-8，魔防2-8，战士血量1000，法师400，道士600。
456,tiejijinge5,铁骑金戈5,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;15;30,99;400;400,9;3;10,10;3;10,,,,,,,,,,5级铁骑金戈：攻击15-30，防御3-10，魔防3-10，战士血量2000，法师800，道士1200。
457,tianyuandongguan1,天元洞观1,1,1,1,1,1,0,34047,,,,,,,1209600,,0,0,4,105;2;4,99;40;40,9;0;2,10;0;2,,,,,,,,,,1级天元洞观：攻击2-4，防御0-2，魔防0-2，战士血量200，法师80，道士120。
